set,family,n_genes_annotated,n_genes_present,coverage,mean_expression,internal_consistency,internal_consistency_perturbed,cronbach_alpha,alpha_null_expected,split_half,split_half_sb,split_half_null,null_mean,null_sd,null_z,null_skew,n_control,null_p_empirical,null_p,var_null_mean,var_null_sd,var_null_z,var_null_skew,var_n_control,var_null_p_empirical,var_null_p,delta_mean,delta_p,cohens_d,cond_null_mean,cond_null_sd,cond_null_z,cond_null_skew,cond_n_control,cond_null_p_empirical,cond_null_p,n_genes_tested,frac_same_direction,direction_p,dir_null_mean,dir_null_sd,dir_null_z,dir_null_skew,dir_n_control,dir_null_p_empirical,dir_null_p,cross_perturbation_rho,cross_perturbation_p,cross_perturbation_tertile_swap,method_agreement_mean,method_agreement_min,delta_q,direction_q,null_q,cond_null_q,dir_null_q,var_null_q,null_q_normal,var_null_q_normal
complex|Multisubunit ACTR coactivator complex (human),complex,4,4,1.0,10.014566,0.14587099032012496,0.10804974809651098,0.4058699893968769,0.07843817343622762,0.2606456825572312,0.4135114031858802,0.06360152376368156,0.020835252734754114,0.11158561468626027,1.120536351723541,0.8549396812982397,10000,0.13188681131886812,0.13124263536202402,0.009429181233381326,0.1013152380809571,1.346705704602088,0.9974441097750381,10000,0.0938906109389061,0.08903751714461333,1.175179323835672,9.412357811262907e-27,1.7893119713403467,0.8478799093500751,0.6660464395745745,1.4134630951433278,1.138711513848639,10000,0.098990100989901,0.07875980255198956,4,1.0,0.0625,0.6876,0.16653532178291827,1.8758783221208706,0.3321846251992197,10000,0.1282871712828717,0.030335994986633575,0.20086687506042344,0.012206189918916302,0.1897810218978102,0.8411707331985494,0.6865451332813051,5.971134507434128e-26,0.22055868167202572,0.39321913546128473,0.44800674571718085,0.4545068842552138,0.29525772351131646,0.3964892922887979,0.2764318955196977
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,3,1.0,9.257248166666665,0.09598788482283631,-0.00026565119687756617,0.2415851578544328,0.03641325337604108,,,,0.012439731864214803,0.13679887089471324,0.6107371531079671,0.5485471452689883,10000,0.24957504249575044,0.2706868027599687,0.025026735378265594,0.1416841704140609,0.5008403496113385,0.6394012345665071,10000,0.2762723727627237,0.3082417429476116,0.3427249371974638,3.99965258704228e-09,0.5029462943282527,0.8148485063002266,0.6542811057754272,-0.4767097952527916,1.2937524040775232,10000,0.6085391460853915,0.6832156065856154,3,0.6666666666666666,0.5,0.7522,0.14559285603343594,-0.5874830377232954,1.1144120969969749,10000,1.0,0.7215603303857807,0.22156230865908286,0.00559494624325246,0.1773049645390071,0.7938291788759074,0.7017120885275634,5.833380351201199e-09,0.5351048269137013,0.5303522787817837,0.8400902048159964,1.0,0.5104527426045274,0.5908626685784725,0.5822638775989737
complex|NCOR complex (human),complex,6,6,1.0,8.922829,0.11781576849115899,0.13785974030269765,0.4448455243759362,0.08474619629755115,0.28811386894212937,0.4473422356344078,0.11307795151335762,0.015197652053049899,0.0610350399771887,1.681298422618576,0.9904054432742752,10000,0.0654934506549345,0.04635248206712494,0.016783667348551266,0.06127502873383584,1.6488299268119015,0.9205362700566592,10000,0.0695930406959304,0.0495912410335645,0.09072633440601112,0.07744611630809377,0.13545473679047607,0.7714054881451199,0.5954767270778387,-1.067969111866759,1.058248760784145,10000,0.885011498850115,0.8572327774272743,6,0.5,0.65625,0.65685,0.13084049016963836,-1.1987879271671913,0.47578482464494537,10000,1.0,0.884694790941577,0.16254390770519803,0.04330736333854606,0.2014388489208633,0.6375686221026039,0.43062573503185364,0.08474288399614448,0.6746926229508197,0.30586834933527923,0.9607320672482702,1.0,0.25501957316789187,0.2164759534837005,0.18639173641896245
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,8,7,0.875,9.092803857142856,-0.013552263130144085,0.03524271423166855,-0.10326248404228888,0.08347588842083539,-0.02745167452199802,-0.05645308063947502,0.03752567932841806,0.012844134523255462,0.04972329422871339,-0.5308658258236758,1.0517100723584123,10000,0.6634336566343366,0.7022441195750786,0.005267844212562448,0.0434983134838951,-0.43266292036068305,1.0188613072037596,10000,0.623037696230377,0.6673701643079801,-0.1020679980661094,0.02094397503494692,-0.1914391719594399,0.7334880337139371,0.5731158074201259,-0.9457929003817287,1.1508794038767274,10000,0.8282171782821718,0.827872886282295,7,0.5714285714285714,0.5,0.6569571428571428,0.10660952989910884,-0.8022600935349059,1.0354214255574767,10000,1.0,0.7887987393216274,0.05266024298282363,0.5152017189955361,0.2158273381294964,0.33323409143899435,-0.06466414589929041,0.023563313788676828,0.5351048269137013,0.804550760393574,0.9372153366238261,1.0,0.7661443939639649,0.8516164875509932,0.8202001739395388
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,4,3,0.75,10.876034333333331,-0.08569106659018022,-0.19232526456585153,-0.3102433703936729,0.06841987836128749,,,,0.02389662909085664,0.15550159144712894,-0.7047368111232293,0.5838284053859665,10000,0.7417258274172582,0.7595129807163841,0.008725820696821153,0.14510784343191271,-0.6506670146421377,0.7154621601155681,10000,0.7294270572942706,0.7423692697775423,-0.08558068785307775,0.030098752251531934,-0.15657697738584767,0.876930389020305,0.6966469154066758,-1.0340294282562674,1.245278147315788,10000,0.8838116188381162,0.8494387970412121,3,0.6666666666666666,0.5,0.7498333333333334,0.1442484264684771,-0.5765516387441585,1.157609161417723,10000,1.0,0.7178788116320988,0.13519706100351264,0.09348873580894203,0.18181818181818182,0.41979049470506596,0.00953224939058825,0.03363888044404918,0.5351048269137013,0.8541910761704522,0.9599042569765784,1.0,0.8416015016145445,0.8728227110885751,0.8593834046436101
complex|Arp2/3 protein complex (human),complex,7,5,0.7142857142857143,11.5846342,-0.04599487504194135,0.06481775500964412,-0.2818242620828604,0.1583872424899246,-0.04085169756384814,-0.08518327658004177,0.017707606199222386,0.03627367887564806,0.09526751622456675,-0.8635530470182944,0.9690929058552276,10000,0.8062193780621938,0.8060832666454416,-0.00011950310365728157,0.05858519969195667,-0.7830539484289311,0.8166597016403998,10000,0.7727227277272273,0.7832022837549166,0.9895397503886761,4.2395002993899565e-27,1.7940345768996049,0.8286083005689158,0.647009486470186,1.4921361997297016,1.161247659805606,10000,0.08799120087991201,0.06783172183421803,5,1.0,0.03125,0.6847999999999999,0.11934146068497674,2.6411609024296028,1.0840101561644575,10000,0.05599440055994401,0.004131123492702468,0.03992781412136251,0.621821644690226,0.24285714285714285,0.4874358522810906,0.2944905455061943,3.2537423626436904e-26,0.1537976457399103,0.8885996440516591,0.42403544733245974,0.30198454356038595,0.8653706057965632,0.8858997735452828,0.8721593288318555
complex|PA700 complex (human),complex,20,18,0.9,9.926889999999998,0.04288702362784255,0.2305790369162134,0.44646094595429936,0.25829092771455836,0.3021277665388502,0.4640524137534179,0.17920898085263542,0.018979344440185765,0.02914600620991696,0.8202729051612626,1.164010781025424,10000,0.18448155184481552,0.20603027439652438,0.01923970727951249,0.02373749609962192,0.996200957720503,1.1026141342567517,10000,0.1511848815118488,0.1595762570882311,0.303561548634767,5.5166177194478804e-08,0.4942622212104186,0.7363468834671335,0.5591518932637466,-0.43294973185850577,0.9977810968198344,10000,0.5883411658834117,0.6674743553341091,18,0.7222222222222222,0.048126220703125,0.5939055555555556,0.07299920864311013,1.7577816123185812,0.7700490392951114,10000,0.09859014098590141,0.039392337587194313,0.3745673681157552,1.5744074133543783e-06,0.16546762589928057,0.6847223078022434,0.5539147690742167,7.76714297253887e-08,0.2015974321438156,0.46922016952418316,0.8278261917398004,0.40908385531957203,0.36979890632380963,0.5207534815632034,0.39140676196854324
complex|AP1 adaptor complex (human),complex,8,5,0.625,9.502038200000001,-0.012159328289552018,-0.010226123952641775,-0.06390479917767672,0.06953301665595961,-0.0010674526277679396,-0.0021371866009891357,-0.02054650193706415,0.01472574363303785,0.08120819691720715,-0.33106352490499896,0.97712878776986,10000,0.5744425557444256,0.6297017487932065,0.03419576782370577,0.08424890570332348,-0.5502160025258246,0.985893392149709,10000,0.675032496750325,0.7089143855499423,0.19499540649025102,5.413597801427566e-05,0.33978771363396143,0.7990385175869811,0.623259654659716,-0.7368530924783812,1.130004405714802,10000,0.7271272872712728,0.7693941538765859,5,0.6,0.5,0.6891999999999999,0.12321070606002055,-0.7239630617533129,1.0552938866197807,10000,1.0,0.7654557936198396,0.15853501337372305,0.04881009426320183,0.23357664233576642,0.2531170149289831,-0.27120634505100877,6.852853041599485e-05,0.5351048269137013,0.7500355790818064,0.8970026117478039,1.0,0.8015874994436738,0.8174532026626257,0.8381987998256873
complex|immunoproteasome (mouse),complex,14,12,0.8571428571428571,11.395400916666667,0.19816996473813697,0.20073622123529394,0.747841851060235,0.32314921543710856,0.6165848554627887,0.7628239908090387,0.20082337921774362,0.038263527884045516,0.04843288926796212,3.301608458033248,1.0798664830267402,10000,0.006899310068993101,0.00048066080399469346,0.015437355495156785,0.02922940084785479,6.251671397376294,1.0959375558323918,10000,0.00029997000299970003,2.030415556153104e-10,0.18380240470112016,0.0006100108657803796,0.2911096367392742,0.7399527222257095,0.5580513804699803,-0.8043042293138459,1.0078642063652583,10000,0.756024397560244,0.7893893521362881,12,0.5,0.61279296875,0.6121333333333333,0.089220204625299,-1.2568154691447224,0.714590926498667,10000,1.0,0.8955897683873029,0.031265508684863524,0.6993514816167357,0.2391304347826087,0.6747074358734554,0.5463102395481524,0.0007401734938573428,0.646673349233774,0.10302031021387657,0.9107797393601286,1.0,0.005931839248507581,0.007226373046358576,4.741236325272408e-09
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,5,1.0,9.5502758,0.01771858189650506,0.03175596474798281,0.08272951101763043,0.0652600157879796,0.027571591129769365,0.05366359165195609,0.04150343082851409,0.013770957479624639,0.07106648558648158,0.055548327517568205,0.884968065464099,10000,0.418958104189581,0.47785081478223157,0.020025956559621607,0.06883889938128097,-0.033518471153011806,0.8977688112006617,10000,0.45235476452354767,0.5133694318713153,0.22511422227304767,6.478321403956959e-07,0.41042990448219463,0.7583339371327377,0.5902741429189314,-0.5893939906128064,1.1735529901826773,10000,0.6597340265973403,0.7222014965927237,5,0.6,0.5,0.68658,0.12032186557369164,-0.7195699600167328,1.0607797826815464,10000,1.0,0.7641050933761913,-0.025696883761399888,0.750950431521411,0.2835820895522388,0.5209172432616509,0.2791483017236904,8.713183505934759e-07,0.5351048269137013,0.6563976007823914,0.8666165101024308,1.0,0.6475886871650935,0.7486180994375659,0.7389153462016638
